index,Consumption,Solar,Wind,hour,day,month,weekday,lag_1,lag_24,lag_48,lag_72,Predicted_Consumption,Total_Generation,Energy_Difference,Battery_Level,Grid_Usage
2020-10-26 04:00:00,15.533572222,0.0,0.0,4,26,10,0,18.463808889000003,15.944488889,19.909524444,18.044722222,17.48538882956733,0.0,-17.48538882956733,0.0,17.48538882956733
2020-10-26 05:00:00,20.121584444,0.0,25.6,5,26,10,0,15.533572222,15.913186667,22.518517778000003,20.63142,16.84314992505921,25.6,8.756850074940793,8.756850074940793,0.0
2020-10-26 06:00:00,18.094913333,0.0,29.42,6,26,10,0,20.121584444,18.497151111,23.179024444,26.005255556,20.482935279534797,29.42,8.937064720465205,17.693914795406,0.0
2020-10-26 07:00:00,27.016653333,6.8548332,32.51,7,26,10,0,18.094913333,26.509191111,28.814844444,30.213026667,21.499272595523667,39.3648332,17.865560604476332,35.55947539988233,0.0
2020-10-26 08:00:00,24.603495556,31.9005,41.04,8,26,10,0,27.016653333,25.040128889,27.931531111,28.399253333,24.85256063440973,72.9405,48.08793936559027,83.6474147654726,0.0
2020-10-26 09:00:00,30.540075556,39.69799999999999,21.55,9,26,10,0,24.603495556,28.293913333000003,25.172817778,21.965744444,22.247470765298804,61.24799999999999,39.00052923470119,100.0,0.0
2020-10-26 10:00:00,22.673066667,48.70241600000001,23.27,10,26,10,0,30.540075556,20.314048889,20.227306667,19.032417778,25.02375220913937,71.97241600000001,46.948663790860635,100.0,0.0
2020-10-26 11:00:00,20.338773333,50.333917,15.19,11,26,10,0,22.673066667,20.399991111,22.241228889,18.627035556,21.142561858622486,65.523917,44.38135514137751,100.0,0.0
2020-10-26 12:00:00,23.650786667,42.071834,18.63,12,26,10,0,20.338773333,20.176675556,26.658222222,22.612848889,19.874306223408254,60.701834000000005,40.82752777659175,100.0,0.0
2020-10-26 13:00:00,26.788884444,30.985916,21.79,13,26,10,0,23.650786667,19.678022222,27.173502222,21.47468,21.8836250744517,52.775915999999995,30.892290925548295,100.0,0.0
2020-10-26 14:00:00,25.791442222,13.8305835,16.61,14,26,10,0,26.788884444,21.19708,25.877455556,24.498708889,25.417480158886242,30.4405835,5.023103341113757,100.0,0.0
2020-10-26 15:00:00,27.180302222,0.0610000999999999,17.15,15,26,10,0,25.791442222,23.240522222,23.58334,21.232455556,25.744825175196485,17.2110001,-8.533825075196486,91.46617492480351,0.0
2020-10-26 16:00:00,26.385773333000003,0.0,16.04,16,26,10,0,27.180302222,26.581293333,22.159622222,19.926782222,26.31518152886449,16.04,-10.27518152886449,81.19099339593902,0.0
2020-10-26 17:00:00,22.259393333,0.0,26.55,17,26,10,0,26.385773333000003,21.778826667,24.798297778,21.522413333000003,28.455384240030142,26.55,-1.9053842400301413,79.28560915590887,0.0
2020-10-26 18:00:00,26.105455556,0.0,30.64,18,26,10,0,22.259393333,22.63696,30.817582222,31.03286,25.96723706516535,30.64,4.672762934834651,83.95837209074352,0.0
2020-10-26 19:00:00,29.198931111,0.0,21.11,19,26,10,0,26.105455556,22.444431111,26.371866667,28.307862222,25.970966136143385,21.11,-4.860966136143386,79.09740595460013,0.0
